business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason,lat,lon
イングリッシュスポット英会話学校（English Spot）｜Kids留学,https://www.es-osaka.com,,JP,info@es-osaka.com,06-6977-2630; 06-6764-7785,https://www.instagram.com/englishspot_osaka,,,,,,,,,,,19,"google_search_title: イングリッシュスポット英会話学校（English Spot）｜Kids留学 | description: 海外サマーキャンプ. Overseas summer camp · サマーキャンプの思い出 サマーキャンプ参加者の生徒さんからバンクーバーでの思い出を聞いてみました！ | query: ""イギリス留学"" エージェント 中学生 || ""短期留学"" イギリス 高校生 || ""海外サマーキャンプ"" 英語 | rank: 9",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: summer camp, 留学, 海外サマーキャンプ.",36.2048,138.2529
海外 サマーキャンプ｜小中学生・高校生対象の短期留学 ...,https://www.ask-ec.com/summer_camp.html,,JP,info@ask-ec.com; ask.summerschool@gmail.com; info@ask-e.com,176-0002,,,,,,,,,,,,19,"google_search_title: 海外 サマーキャンプ｜小中学生・高校生対象の短期留学 ... | description: ネイティブの子供達と過ごす海外サマーキャンプのご紹介。日本人スタッフ在住だから初めての留学でも安心！お子様だけでご参加頂ける全寮制キャンプです。英語の ... | query: ""イギリス留学"" エージェント 中学生 || ""短期留学"" イギリス 高校生 || ""海外サマーキャンプ"" 英語 | rank: 5",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: 留学, 短期留学, 海外サマーキャンプ.",36.2048,138.2529
Séjour linguistique Angleterre enfant & ado,https://www.action-sejours.com/sejour-linguistique-adolescent-et-enfant/angleterre,,FR,,0145309191,https://www.instagram.com/actionsejours,https://fr.linkedin.com/company/action-sejours1,,Apify contact scraping,,,,,,,,18,"google_search_title: Séjour linguistique Angleterre enfant & ado - Immersion au ... | description: Conçus pour les plus jeunes, nos séjours linguistiques en Angleterre pour enfants de 6 à 9 ans privilégient l'approche ludique et la bienveillance. Tout est ... | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 5",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, séjour linguistique.",46.2276,2.2137
Séjour linguistique ado (7-17 ans),https://www.esl.fr/fr/programmes/camps-juniors,,FR,,+33155421012; +33540246635; +33359810333; +33478283956; +33493803647,https://www.instagram.com/esl.sejourslinguistiques; https://www.instagram.com/esl_education,https://www.linkedin.com/company/esleducation,,Apify contact scraping,,,,,,,,18,"google_search_title: Séjour linguistique ado (7-17 ans) | description: Jeunes étudiants. Séjours linguistiques amusants et immersifs à l'étranger. ESL Juniors. Summer camps ESL : Colonie de vacances été pour enfants et adolescents. | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 1",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: summer camp, séjours linguistiques, séjour linguistique.",46.2276,2.2137
Séjour linguistique en Angleterre pour adolescents et adultes,https://www.verdiehello.com/sejours/pays/angleterre.html,,FR,,05 65 77 10,https://www.instagram.com/verdiehello,https://www.linkedin.com/company/verdie-hello,,Apify contact scraping,,,,,,,,18,"google_search_title: Séjour linguistique en Angleterre pour adolescents et adultes | description: Découvrez nos séjours linguistiques en Angleterre pour adolescents, étudiants et adultes. Partez pour un voyage linguistique en Angleterre avec VERDIÉ ... | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 4",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, séjour linguistique.",46.2276,2.2137
Summer Camps,https://www.nacel.org/en/summer-camps,,IN,,+16513157880; +443308229918; +352263375370; +16513474580,https://www.instagram.com/nacelinternational; https://www.instagram.com/nacel_educationaltravel,https://www.linkedin.com/company/nacel-international,https://www.linkedin.com/in/celine-gibassier-101258205,Apify contact scraping,,,,,,,,18,"google_search_title: Summer Camps | description: Improve your language skills by enjoying a safe and fun summer camp abroad with Nacel! Book a study abroad summer camp overseas for teens.Read more | query: ""UK study abroad consultant"" students India || ""school educational tour"" operator India || ""summer camp abroad"" students India | rank: 1",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: study abroad, summer camp.",20.5937,78.9629
イギリス高校留学,https://www.efjapan.co.jp/pg/koukou-ryugaku/uk,,JP,,+05017431430; 05017431430,,https://www.linkedin.com/company/ef-education-first,,Apify contact scraping,,,,,,,,18,"google_search_title: イギリス高校留学 - 短期の語学留学や高校正規留学にも | description: イギリス高校留学はEFへ。イギリスで本場の英語を学び、世界中の高校生とお友達になりませんか？2週間からの短期留学や海外進学準備コースなど、高校生のイギリス留学 ... | query: ""イギリス留学"" エージェント 中学生 || ""短期留学"" イギリス 高校生 || ""海外サマーキャンプ"" 英語 | rank: 1",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: 留学, 短期留学.",36.2048,138.2529
SLT Tours: International Youth Sports & Educational Tours ...,https://slttours.co.uk,,AE,AlexWood@slttours.co.uk; AshleyYoung@slttours.co.uk; BeckyPowell@slttours.co.uk; Des@slttours.co.uk; HaydenCurtis@slttours.co.uk; Info@slttours.co.uk; JackRoper@slttours.co.uk; JakeTarbotton@slttours.co.uk; JamesClarke@slttours.co.uk; Jamie@slttours.co.uk; JennieThomson@slttours.co.uk; JessChew@slttours.co.uk; LeeAshforth@slttours.co.uk; LinseyAndrews@slttours.co.uk; LukeBooth@slttours.co.uk; Matthew@slttours.co.uk; SunilSharma@slttours.co.uk; WilliamWilson@slttours.co.uk,+443303904140; 03303904140; 03330124361,https://www.instagram.com/slttours,https://www.linkedin.com/company/slttours,,Apify contact scraping,,,,,,,,17,"google_search_title: SLT Tours: International Youth Sports & Educational Tours ... | description: ... educational travel agency. Select your country to explore... Andorra, Austria, Belgium, Bulgaria, Colombia, Croatia, Dubai, France, Germany, Holland, Iceland ...Read more | query: ""UK study abroad consultant"" UAE students || ""school trip operator"" UAE UK || ""educational travel agency"" Dubai students | rank: 5",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: educational travel.,23.4241,53.8478
Study Abroad,https://www.amsteroverseas.com/StudyAbroad/UK,,AE,info@amsteroverseas.com; info@amsteroverseas.ae; hrplacement@amsteroverseas.in; info@dlschool.online,919066555666,https://www.instagram.com/amsteroverseas,https://www.linkedin.com/company/amster-immigration,,Apify contact scraping,,,,,,,,17,"google_search_title: Study Abroad | description: ... students achieve their dreams. Amster Immigration is a UK study abroad consultant that provides a range of services to international students who wish to ...Read more | query: ""UK study abroad consultant"" UAE students || ""school trip operator"" UAE UK || ""educational travel agency"" Dubai students | rank: 2",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: study abroad.,23.4241,53.8478
English Zone One,https://www.englishuk.com/partner-agency-directory,,AU,info@3esse.com; info@academicfamilies.com; info@academix.com.tr; info@academlux.com; leonor@cursosaccess.com; info@activestudyuk.com; martaarderiu@where-what.com; zislam@ahzassociates.co.uk; kate@ahlameducation.com; business@directksa.com; contact@allterra.ru; Study@alsarh.com.sa; info@angelstream.com; andras@angolnyar.hu; info@armadagrandee.com; info@atava.co.uk; sinem@atlasedu.com; info@ausoniaviaggi.it; contato@beeducation.tur.br; advisor@bestparents.com; info@englishuk.com; roz@englishuk.com; press@englishuk.com,+39 033 118314; +44 131 331 3317; +90 21224994; +375292331155; +58-412-264544; +44 78094062; +34 93 414223; +44 20 737796; +96 89947370; +966115122170; 812 3136445; 2343-8074; +96 61149411; 727 2920330; 07523385655; +90 850 480 46; +44 20 365132; +902122495310; 0039091585555; 01405900; +55 11 328601; 12132923306; +44 20 7608 7960; 1108792; 5120951,,https://www.linkedin.com/company/english-uk,,Apify contact scraping,,,,,,,,17,"google_search_title: English Zone One | description: English Zone One (EZO) is a language travel agency with a full-service ... Its primary source of students is from Middle Eastern and North African (MENA) ...Read more | query: ""school educational tour operator"" UK Australia || ""student travel education provider"" Australia || ""language travel agency"" students Australia | rank: 8",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: language travel.,-25.2744,133.7751
Language travel agency: complete support,https://catch-up-education.com/en/our-services-and-programs,,AU,support@catch-up-education.com; info@designagency.com,+61 449 262 770; 62 26 95 70,https://www.instagram.com/catchupeducation,,https://www.linkedin.com/in/sylvain-lolley-87305255,Apify contact scraping,,,,,,,,17,"google_search_title: Language travel agency: complete support | description: Catch-Up Education, a leading language travel agency, offers comprehensive services and programs to turn your dream of studying abroad into a concrete reality.Read more | query: ""school educational tour operator"" UK Australia || ""student travel education provider"" Australia || ""language travel agency"" students Australia | rank: 2",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: language travel.,-25.2744,133.7751
Agencias de estudios en el exterior,https://viajesyviajesestudios.com/agencias-de-estudios-en-el-exterior,,CO,info@viajesyviajes.com; info@viajesyviajesestudios.com,+573245938720; (604) 4756420; 573245938720; (601) 7450488; 316 5695297; 304 296 33 67; 60956036; (606) 3489710; 3505813722; 3013812060; 394 5391; 993 508855; 263 0028; 993478082; 99 5032520; (511) 243 65; 955 363 402; 945421268; 155 32048979; 900041392; 20600209532,https://www.instagram.com/estudiosenelexterior,https://www.linkedin.com/company/viajes-y-viajes-experience,,Apify contact scraping,,,,,,,,17,"google_search_title: Agencias de estudios en el exterior - En Colombia | description: Programas más buscados. Cursos de inglés en el exterior; Estudios técnicos y profesionales; Programas de intercambio; Estudio y trabajo. ""Estudiar y trabajar en ... | query: ""inglés en el exterior"" jóvenes Colombia agencia || ""campamentos de verano"" Reino Unido Colombia || ""viajes educativos"" estudiantes exterior Colombia | rank: 8",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: cursos de inglés.,4.5709,-74.2973
Campamento de verano en Reino Unido,https://boardingschoolsabroad.com/programas/campamentos-de-verano/campamento-verano-reino-unido,,CO,hello@boardingschoolsabroad.com,+34 686 309 155,https://www.instagram.com/boarding_schools_abroad,https://www.linkedin.com/company/boarding-schools-abroad-ltd,,Apify contact scraping,,,,,,,,17,"google_search_title: Campamento de verano en Reino Unido - Boarding School | description: Campamentos de verano en Reino Unido. En Boarding Schools Abroad llevamos más de 10 años ayudando a familias a encontrar el campamento de verano perfecto en ... | query: ""inglés en el exterior"" jóvenes Colombia agencia || ""campamentos de verano"" Reino Unido Colombia || ""viajes educativos"" estudiantes exterior Colombia | rank: 5",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: campamentos de verano.,4.5709,-74.2973
Estudiar Inglés en el exterior,https://globalconnection.com.co/programas/estudiar-ingles-en-el-exterior,,CO,clientes@globalconnection.com.co,3003206018; 3183094035; 6015304168; (601) 6362711; (604) 5299678; +61491047195,https://www.instagram.com/globalconnection,https://www.linkedin.com/company/global-connection-estudios-en-el-exterior,,Apify contact scraping,,,,,,,,17,"google_search_title: Estudiar Inglés en el exterior | description: Nuestros cursos de inglés en el exterior te brindarán una experiencia transformadora, potenciando tus habilidades lingüísticas y abriendo puertas a nivel ... | query: ""inglés en el exterior"" jóvenes Colombia agencia || ""campamentos de verano"" Reino Unido Colombia || ""viajes educativos"" estudiantes exterior Colombia | rank: 2",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: cursos de inglés.,4.5709,-74.2973
Dein Auslandsjahr England,https://www.doiteducation.de/high-school-england,,DE,info@doiteducation.de,+494042937444; 00494042937444,https://www.instagram.com/doiteducation,https://www.linkedin.com/company/do-it-education-gmbh,,Apify contact scraping,,,,,,,,17,"google_search_title: Dein Auslandsjahr England | Do it Education unterstützt | description: Im kostenlosen Beratungsgespräch nehmen wir uns eine Stunde Zeit um mit dir und deinen Eltern deinen Schüleraustausch zu besprechen. Dabei beraten wir dich zu ... | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 7",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: schüleraustausch.,51.1657,10.4515
Schüler Sprachreisen England: Sprachschulen,https://www.dialog.de/sprachreise-schueler/englisch-england,,DE,info@simple-web-solutions.de,+49761286470,https://www.instagram.com/studylingua_de,https://www.linkedin.com/company/studylingua-group,,Apify contact scraping,,,,,,,,17,"google_search_title: Schüler Sprachreisen England: Sprachschulen | DIALOG | description: Bringe Deine Sprachkenntnisse in Form mit unseren international besetzten England Sprachreisen für Schüler im schönen und sicheren Stadtteil London Hampstead! | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 5",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: sprachreisen.,51.1657,10.4515
"Schüleraustausch England, Schottland und Wales",https://www.yfu.de/schueleraustausch/gastlaender/grossbritannien,,DE,lale.grossbritannien@yfu-deutschland.de; austausch@yfu.de; presse@yfu.de; info@yfu.de; feedback@yfu.de; webmaster@yfu.de; roesch@yfu.de; bruns@yfu.de,040 227002; 21.09.2022; 40 22 70 02; 76 21 672206; 320409420; 040 22 700,https://www.instagram.com/yfudeutschland; https://instagram.com/yfudeutschland; www.instagram.com/yfudeutschland; https://www.instagram.com/coloredglasses_yfu,https://www.linkedin.com/company/deutsches-youth-for-understanding-komitee-e-v-; www.linkedin.com/company/deutsches-youth-for-understanding-komitee-e-v-,,Apify contact scraping,,,,,,,,17,"google_search_title: Schüleraustausch England, Schottland und Wales | description: Schüleraustausch Großbritannien: Verbringe ein halbes Schuljahr in England, Schottland oder Wales mit der Organisation Youth For Understanding. | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 3",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: schüleraustausch.,51.1657,10.4515
Sprachreisen 2026 für Jugendliche,https://www.ruf.de/sprachreisen,,DE,info@ruf.de; presse@ruf.de; Beschwerde@versicherungsombudsmann.de,+49521962720; 0521 962720,https://www.instagram.com/rufjugendreisen,https://de.linkedin.com/company/rufjugendreisen,,Apify contact scraping,,,,,,,,17,"google_search_title: Sprachreisen 2026 für Jugendliche | description: Sprachreisen 2026 bei ruf Jugendreisen. Studentenwohnheim oder Gastfamilie? Küstenort oder historische Altstadt? In unserem breiten Angebot ist garantiert ... | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 2",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: sprachreisen.,51.1657,10.4515
Sprachreisen für Kinder und Jugendliche,https://www.panke-sprachreisen.de/sprachreise-jugendliche,,DE,info@panke-sprachreisen.de,+494503898310,https://www.instagram.com/pankesprachreisen.de,https://www.linkedin.com/company/panke-sprachreisen-gmbh,,Apify contact scraping,,,,,,,,17,"google_search_title: Sprachreisen für Kinder und Jugendliche - Europaweit | description: Diese Jugendreisen sind für 13- bis 17-Jährige konzipiert und finden zu verschiedenen Zeiten im Jahr statt, einschließlich Ostern, Pfingsten, Sommer und Herbst. | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 10",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: sprachreisen.,51.1657,10.4515
🎓 England Schüleraustausch – 40 Jahre Erfahrung und 3 ...,https://www.aifs.de/schueleraustausch/england/uebersicht.html,,DE,info@aifs.de; travel@aifs.de; aupairusa@aifs.de; aupair@aifs.de; highschool@aifs.de; camp@aifs.de; studyabroad@aifs.de; ecastillo@aifs.de; info@aifs.at; info@aifs.ch,+4922895730450,https://www.instagram.com/aifs_jointheworld; https://www.instagram.com/aifs_auslandsaufenthalte; https://www.instagram.com/globerocker_official,https://de.linkedin.com/company/aifs-educational-travel,,Apify contact scraping,,,,,,,,17,"google_search_title: 🎓 England Schüleraustausch – 40 Jahre Erfahrung und 3 ... | description: Dein Traum vom Schüleraustausch in England mit AIFS: Orientation Days, gemeinsame Ausreise und individuelle Programme – Classic, Select oder Short Stay! | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 2",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: schüleraustausch.,51.1657,10.4515
10 Voyages scolaires en Angleterre,https://silc.fr/voyages-scolaires/destinations-voyages-scolaires/angleterre-voyages-scolaires,,FR,contact@silc.fr; edina.o@silc.fr; erasmus@silc.fr; minerve.c@silc.fr; voyages.scolaires@silc.fr,0545974160,https://www.instagram.com/silc.france,https://fr.linkedin.com/company/silc-aventures-linguistiques,,Apify contact scraping,,,,,,,,17,"google_search_title: 10 Voyages scolaires en Angleterre | description: Partez en voyages scolaires en Angleterre avec SILC : une immersion culturelle et linguistique pour découvrir Londres, Oxford, Cambridge et bien plus. | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 3",,Keep,B,Outbound youth education / study travel source-market lead,Search result matched targeted source-market terms: voyages scolaires.,46.2276,2.2137
CCE Voyages,https://ccevoyages.com,,FR,,+33385205485,https://www.instagram.com/ccevoyages,,,,,,,,,,,17,"google_search_title: CCE Voyages - Spécialiste du voyage scolaire depuis 1988 | description: CCE Voyages organise des voyages scolaires et des séjours linguistiques clés en mains pour vos élèves et vos enfants. | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 9",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, voyages scolaires.",46.2276,2.2137
Partir en séjour linguistique,https://www.decouvrirlemonde.jeunes.gouv.fr/partir-en-sejour-linguistique-81,,FR,,122232425262728; 141516171819202; 29303132333435; 345678910111213; 102050100,https://www.instagram.com/jeunes.gouv,,,,,,,,,,,17,"google_search_title: Partir en séjour linguistique | Découvrir le monde | description: Qui peut participer ? Âge : les séjours linguistiques sont destinés aux jeunes de 10 à 30 ans. Conditions requises. Être affilié ... | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 6",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, séjour linguistique.",46.2276,2.2137
