business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason
Mill Hill International,http://www.millhill.org.uk/international,London,GB,office@millhillinternational.org.uk; commercial@millhill.org.uk; development@millhill.org.uk; international@millhill.org.uk; marketing@millhill.org.uk,+44 20 3826 3333,https://www.instagram.com/millhillintl,https://www.linkedin.com/company/mill-hill-international,,Apify contact scraping,,,,,,,,11,category: Secondary school; Boarding school; International school | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Mill%20Hill%20International&query_place_id=ChIJwbHgqCQXdkgRSX2RtpT9UIA,Keep,B,UK international/boarding school,"Good international private school profile, useful host/network partner."
ISSFT® International Summer School for Teens,https://www.issft.com/,Menstrie,GB,,+44 131 202 6656,https://www.instagram.com/issft_summerschool,https://www.linkedin.com/company/issft,,Apify contact scraping,,,,,,,,11,category: Summer camp organizer | rating: 4.4 | reviews: 17 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=ISSFT%C2%AE%20International%20Summer%20School%20for%20Teens&query_place_id=ChIJ11cNipCHiEgRJH-XaCMGzfk,Keep,A,UK teen summer school,Direct summer school for teens; excellent benchmark/partnership lead.
Bishop's Stortford College International Summer School,https://www.bscsummerschool.com/,Bishop's Stortford,GB,,+44 20 3553 5700,,,,,,,,,,,,11,category: English language camp; English language school; International school; Summer camp organizer | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Bishop's%20Stortford%20College%20International%20Summer%20School&query_place_id=ChIJuSnnc3KF2EcRXB-FPbawva8,Keep,A,UK international summer school,Directly aligned with youth international summer school.
The English Language Centre Bristol,https://www.elcbristol.co.uk/,Bristol,GB,info@elcbristol.co.uk,+44 117 970 7060,https://www.instagram.com/elc.bristol,,,,John Duncan; Margaret Duncan; Andrew Edwards,Directors / Welfare Officers; Principal / Homestay Manager,info@elcbristol.co.uk,+44 117 970 7060,https://elcbristol.co.uk/english-language-school-bristol/the-admin-team/,Official website,High,10,category: Learning center | rating: 4.9 | reviews: 129 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=The%20English%20Language%20Centre%20Bristol&query_place_id=ChIJSWR_mumNcUgRG5pvSulFkgE,Keep,B,UK language school,"Strong language school. Useful partner/referral route, less camp-specific."
The School Trip,https://theschooltrip.co.uk/,London,GB,vicky@theschooltrip.co.uk; hello@theschooltrip.co.uk,+44 20 8064 0974,https://www.instagram.com/theschooltrip,,,,,,,,,,,10,category: Tour operator; Educational consultant | rating: 5 | reviews: 213 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=The%20School%20Trip&query_place_id=ChIJ2y77NuMFdkgRMVnlLsGyKrc,Keep,B,UK school trip platform/operator,School trip/education consultant. Useful for UK camp partnerships.
Which Boarding School,http://www.which-boarding-school.com/,Westcliff-on-Sea,GB,nieves@which-boarding-school.com; info@which-boarding-school.com,+44 1702 588225,https://www.instagram.com/whichboardingschool,,,,,,,,,,,10,category: Consultant | rating: 5 | reviews: 112 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Which%20Boarding%20School&query_place_id=ChIJUS397B7Z2EcRp-c279fLY24,Keep,B,School placement consultant,Boarding school consultant may reach international families; good referral-adjacent lead.
Halcyon London International School,http://www.halcyonschool.com/,London,GB,join@halcyonschool.com; admin@halcyonschool.com,+44 20 7258 1169,https://www.instagram.com/halcyon_school,https://uk.linkedin.com/company/halcyon-london-international-school,,Apify contact scraping,Jeff Lippman,Director / Headteacher-Principal,,+44 20 7258 1169,https://www.halcyonschool.com/about-us/directors-welcome,Official website,High,9,category: International school; Co-ed school; Higher secondary school; School | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Halcyon%20London%20International%20School&query_place_id=ChIJwwqv18oadkgRnE-UyDKYbrk,Keep,B,UK international school,International school with relevant audience; partner/referral possibility.
Malvern College,https://www.malverncollege.org.uk/,Malvern,GB,enquiries@malverncollege.org.uk; humanresources@malverncollege.org.uk; human.resources@malverncollege.org.uk; admissions@malverncollege.org.uk,+44 1684 581500,https://www.instagram.com/malverncollege,,,,Keith Metcalfe,Headmaster,,+44 1684 581502,https://www.malverncollege.org.uk/about-us/contact-us/,Official website,High,9,category: Private educational institution; Boarding school; Educational institution; High school; Primary school; Sixth form college | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Malvern%20College&query_place_id=ChIJJdaf0cH4cEgR0FQ9cmWIn50,Keep,B,UK boarding/private school,International-facing boarding/private school; useful institutional partner.
The School Travel Company,http://theschooltravelcompany.com/,Stourbridge,GB,,+44 1384 398893,https://www.instagram.com/theschooltravelcompany,,,,Andrew Gardiner,Owner / Director,,+44 1384 398893,https://www.theschooltravelcompany.com/about-us/,Official website,High,9,category: Tour operator | rating: 5 | reviews: 2 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=The%20School%20Travel%20Company&query_place_id=ChIJzxUXBvKWcEgR2JxXzQFkD_A,Keep,A,UK school travel operator,School travel company. Strong for educational trips/camp partnerships.
Wrekin College,http://www.wrekincollege.com/,Telford,GB,admissions@wrekincollege.com; info@wrekincollege.com; prepadmissions@wrekincollege.com; wpoffice@wrekincollege.com,+44 1952 265600,https://www.instagram.com/wrekincollege; https://www.instagram.com/wrekinprepofficial,https://www.linkedin.com/company/wrekin-prep,,Apify contact scraping,Toby Spence,Headmaster / CEO Wrekin Old Hall Trust,admissions@wrekincollege.com,+44 1952 265645,https://wrekinoldhall.com/wrekin-college-welcome/contact/,Official website,High,9,category: Boarding school; Private educational institution; School; Sixth form college | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Wrekin%20College&query_place_id=ChIJD8K2tiCCekgRCHt2ija-y2w,Keep,B,UK boarding/private school,Boarding school with international outlook; useful UK institutional partner.
Shrewsbury School,http://www.shrewsbury.org.uk/,Shrewsbury,GB,'@shrewsbury.org.uk,+44 1743 280500,https://www.instagram.com/shrewsburyschool,,,,Martin Cropper; Leo Winkley,Director of Admissions; Headmaster,,01743 280552; 01743 280526,https://www.shrewsbury.org.uk/page/directions-shrewsbury-school,Official website,High,9,category: Private educational institution; Boarding school; School | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Shrewsbury%20School&query_place_id=ChIJpWbfmU2eekgRFdLCIcT1A_w,Keep,B,UK boarding/private school,Strong private/boarding school with international audience.
Oxbridge International Summer School,,London,GB,,+44 20 7607 5370,,,,,,,,,,,,8,category: Summer camp organizer | rating: 5 | reviews: 6 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Oxbridge%20International%20Summer%20School&query_place_id=ChIJXa7Xd7wcdkgR_putMjoBvbg,Keep,A,UK international summer school,"Directly aligned, but website missing in scrape; needs website recovery."
International School Aberdeen,http://www.isa.aberdeen.sch.uk/,Aberdeen,GB,admissions@isa.aberdeen.sch.uk; enquiries@isa.aberdeen.sch.uk,+44 1224 730300,,,,,Nick Little,Head of School,,+44 1224 730300,https://www.tes.com/magazine/leadership/strategy/my-week-head-international-school-aberdeen,Education press,Medium,8,category: International school | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=International%20School%20Aberdeen&query_place_id=ChIJMe-xxz0OhEgRrJOn2HKVO2w,Keep,B,UK international school,International school; relevant for partnerships/referrals.
The Learning Adventure,https://thelearningadventure.com/,London,GB,info@thelearningadventure.com,+44 20 8064 0592,https://www.instagram.com/tla_thelearningadventure,https://www.linkedin.com/company/the-learning-adventure,,Apify contact scraping,Alex Seigel,CEO,info@thelearningadventure.com,+44 20 7157 9964,https://the-learning-adventure.10web.cloud/en-us/about/meet-our-team/,Official website,High,8,category: Travel agency | rating: 5 | reviews: 5 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=The%20Learning%20Adventure&query_place_id=ChIJnYeKJ9oDdkgR2g3MeAERRcg,Keep,A,Educational travel operator,Educational travel operator. Strong fit for UK/China study trip partnerships.
Advice Yurtdışı Eğitim,https://www.adviceyed.com/,Beyoğlu,TR,info@adviceyed.com,+90 212 936 06 86,https://www.instagram.com/adviceyed,,,,,,,,,,,8,category: Educational consultant | rating: 4.5 | reviews: 276 | source: turkey_google_maps,https://www.google.com/maps/search/?api=1&query=Advice%20Yurtd%C4%B1%C5%9F%C4%B1%20E%C4%9Fitim&query_place_id=ChIJOe89c2i5yhQR6cMqI12LXNY,Keep,A,Turkey outbound education agency,Yurt disi egitim means overseas education. Good Turkey source-market referrer.
ACS International School Egham,https://www.acs-schools.com/egham,Egham,GB,,+44 1784 430800,https://www.instagram.com/acseghamschool,,,,Mark Wilson; Suzanne Ingham,Head of School; Dean of Admissions,,+44 1784 430611,https://www.acs-schools.com/egham/about/leadership-team/,Official website,High,7,category: International school; Educational institution | rating: 4.3 | reviews: 24 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=ACS%20International%20School%20Egham&query_place_id=ChIJXW6pC-95dkgRa5--UJvNt0E,Keep,B,UK international school,International school with relevant international audience.
DGI Study Trips,http://www.dgistudytrips.com/,Manchester,GB,,+44 161 884 5361,https://www.instagram.com/diversitytravel,https://www.linkedin.com/company/diversity-travel,,Apify contact scraping,Kate Erskine; Shannon Gibson,Head of DGI Study Trips; Sales Manager,,+44 161 884 5361,https://www.dgistudytrips.com/about-us/,Official website,High,7,category: Travel agency | rating: 4.8 | reviews: 33 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=DGI%20Study%20Trips&query_place_id=ChIJDwFldjixe0gRqqbFtRBqv44,Keep,A,Study trip operator,Direct study trips operator. Strong fit.
Select School Tours - Educational School Trips,http://selectschooltours.com/,Burgess Hill,GB,,+44 1444 870100,https://www.instagram.com/select.school.travel,https://uk.linkedin.com/company/select-school-travel,,Apify contact scraping,,"Management / Sales team listed, no named decision maker visible",,+44 1444 870100,https://selectschooltours.com/about-us/,Official website,Low,7,category: Tour operator | rating: 4.9 | reviews: 15 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Select%20School%20Tours%20-%20Educational%20School%20Trips&query_place_id=ChIJ7aLeH8WNdUgRzpvf6euVCsI,Keep,A,Educational school trip operator,Educational school trips operator. Strong fit.
Adcote School for Girls,http://www.adcoteschool.co.uk/,Shrewsbury,GB,office@adcoteschool.co.uk; info@iqschoolsgroup.com; boarding@adcoteschool.co.uk; admissions@adcoteschool.co.uk; yliu@adcoteinternational.com; tbarlow@iqschoolsgroup.com; r.boonyarit@adcoteinternational.com; hbanks@iqschoolsgroup.com; bursar@adcoteschool.co.uk; info@schoolshopdirect.co.uk; marketing@adcoteinternational.com,+44 1939 260202,https://www.instagram.com/adcoteschool,https://www.linkedin.com/company/adcote-school-for-girls,,Apify contact scraping,,,,,,,,7,category: Girls' high school; Preparatory school; Private educational institution; School; Single sex secondary school; Sixth form college | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Adcote%20School%20for%20Girls&query_place_id=ChIJk_w6m7CRekgRlqtqeVh5Ohg,Keep,B,UK private/boarding school,Private/boarding school with international potential.
Education Destination Ltd,http://www.educationdestination.co.uk/,Ventnor,GB,,+44 1983 216220,,,,,,,,,,,,6,category: Tour operator; Educational consultant; School center; Tour agency; Tourist information center | rating: 5 | reviews: 2 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Education%20Destination%20Ltd&query_place_id=ChIJ2dluUBKIdEgRix_n2nUtELE,Keep,B,UK education destination/operator,"Education/tour operator. Potential fit, but lower evidence/low review count."
